date,location,location_name,value
2021-09-15,NO,Norway,29
2021-09-16,NO,Norway,13
2021-09-19,NO,Norway,35
2021-09-21,NO,Norway,27
2021-09-22,NO,Norway,19
2021-09-23,NO,Norway,4
2021-08-29,SI,Slovenia,NA
2021-08-30,SI,Slovenia,18
2021-08-31,SI,Slovenia,22
2021-09-01,SI,Slovenia,26
2021-09-02,SI,Slovenia,24
2021-09-03,SI,Slovenia,33
2021-09-04,SI,Slovenia,32
2021-09-06,SI,Slovenia,48
2021-09-07,SI,Slovenia,31
2021-09-08,SI,Slovenia,39
2021-09-09,SI,Slovenia,47
2021-09-10,SI,Slovenia,35
2021-09-11,SI,Slovenia,26
2021-09-12,SI,Slovenia,27
2021-09-14,SI,Slovenia,74
2021-09-15,SI,Slovenia,46
2021-09-16,SI,Slovenia,32
2021-09-17,SI,Slovenia,41
2021-09-18,SI,Slovenia,36
2021-09-19,SI,Slovenia,32
2021-09-20,SI,Slovenia,29
2021-09-21,SI,Slovenia,55
2021-09-22,SI,Slovenia,47
2021-09-23,SI,Slovenia,43
2021-09-24,SI,Slovenia,46
2021-09-25,SI,Slovenia,22
2021-09-26,SI,Slovenia,36
2021-09-27,SI,Slovenia,47
